Region_Comercial,Subregion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES-CUOTA, AL-CUOTA ,AL-VENTA-2017,AL-VENTA-2018,AL-VENTA-2019,YEAR-2018,YEAR-2019
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,20.76,20.74,150.05,31.70,4.23,88.76,44.38
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,698.63,698.63,784.60,1280.72,1039.79,4297.60,4421.23
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,6617.38,6617.37,6012.95,6229.71,8426.21,29401.80,36834.97
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,386.16,386.15,194.43,286.37,474.46,1527.99,2108.12
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,1.12,1.12,25.36,4.76,3.17,76.08,12.68
REGION SUR,Sub. Tacna,TRADICIONAL,HORIZONTAL,SCHWEPPES,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,SCHWEPPES FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,104.26,98.55,99.86,69.74,72.12,373.29,408.96
REGION SUR,Sub. Tacna,TRADICIONAL,HORIZONTAL,MIXTOS,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,MIXTOS FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,0.00,0.00,0.00,0.00,0.00,701.79,21.40
REGION SUR,Sub. Tacna,TRADICIONAL,HORIZONTAL,INCA_KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,6811.71,6779.03,8366.95,8365.90,7191.93,36982.93,32005.98
REGION SUR,Sub. Tacna,TRADICIONAL,HORIZONTAL,INCA_KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,25168.17,24788.81,26297.44,28717.84,23527.94,128982.42,115560.06
REGION SUR,Sub. Tacna,TRADICIONAL,HORIZONTAL,INCA_KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,1273.49,1227.92,541.91,1172.05,1198.64,5343.52,5844.03
REGION SUR,Sub. Tacna,TRADICIONAL,HORIZONTAL,INCA_KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,190.90,190.25,338.42,195.76,168.81,1230.56,922.79
REGION SUR,Sub. Tacna,TRADICIONAL,HORIZONTAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1705.58,1807.04,3235.09,3520.93,1659.02,16488.23,8336.31
REGION SUR,Sub. Tacna,TRADICIONAL,HORIZONTAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,2974.63,2939.81,3441.58,5276.69,2473.10,23180.42,12733.64
